lat,lng,count
0,0,1
5,-74,2
51,7,1
37,-81,1
52,5,3
27,-82,124
53,8,5
40,0,1
51,14,3
46,15,2
48,8,3
45,12,1
51,14,5
3,102,1
19,73,4
34,-118,1
44,-80,2
17,82,1
51,8,1
48,-122,6
43,-78,23
34,-118,3
28,-83,1
59,18,3
41,2,1
39,-77,8211
47,7,10
54,-2,127
1,104,1
34,35,6
51,26,1
33,75,2
-35,-61,20
59,18,7
48,16,1
26,-98,1
60,11,1
59,17,1
51,0,3
10,-75,15
37,-122,2346
-24,-46,2
60,17,6
39,0,2
33,35,1
34,-85,1
42,-71,70
30,122,3
54,-2,1
41,-74,4
30,-98,1
51,7,1
30,-98,1
49,9,2
42,-92,2
39,-77,3
38,46,1
42,13,1
44,-80,2
59,18,45
4,-76,1
49,11,2
39,-77,3
45,0,1
48,-5,147
45,-74,2
33,-97,4
52,4,1
51,7,3
49,11,14
1,104,5
26,-80,2
52,21,4
11,-75,76
36,3,16
47,14,11
-7,-35,6
44,-116,6
-37,-57,1
45,10,1
21,-158,3
50,14,2
51,4,3
15,121,10
52,4,1
22,114,30
49,9,1
44,1,6
29,-82,1
39,-75,6
47,9,4
11,107,3
39,16,3
49,3,1
43,28,1
40,-112,3
39,-9,4
-16,-55,1
43,-3,1
41,-74,1
51,11,1
42,3,5
9,7,1
48,2,1
55,9,7
-7,39,21
-16,-47,1
49,11,871
13,79,10
49,6,4
7,80,7
47,8,5
29,77,130
5,-74,1
48,16,1
52,5,1
15,74,2
52,4,4
60,10,1
56,13,1
50,11,4
48,10,2
40,-112,1
47,7,9
48,10,2
37,11,1
50,8,1
13,-88,8
43,-83,2
45,12,3
37,15,1
43,-78,5
50,8,1
25,67,23
66,26,1
44,10,12
45,11,5
14,101,4
37,-2,1
59,16,1
59,18,17
41,-96,4
45,9,1
52,5,1
51,2,1
47,-1,4
60,25,5
42,-70,2
43,24,2
49,9,1
11,107,175
51,7,1
51,13,4
36,10,2
-24,-47,11
50,11,3
48,12,4
46,3,5
41,-105,1
45,9,3
51,7,1
42,-2,9
43,-88,1
45,-93,2
39,-91,2
-41,175,9
46,-74,1
10,-84,7
40,-74,2
49,9,3858
52,-1,1
47,7,260
49,2,1
40,-78,2
-20,-70,1
48,12,518
52,7,1
17,74,12
-19,-47,2
36,-84,26
46,9,1
60,11,9
56,9,14
26,-80,87
15,101,81
52,6,3
-34,151,230
49,-4,4
46,5,1
21,79,38
48,14,7
47,8,2
42,13,1
54,-8,3
-24,-52,1
51,9,1
8,98,1
45,-93,10
39,-7,1
37,-122,1
49,3,1
48,9,26
38,-122,5
47,-1,1
57,53,3
-24,-45,1
49,9,4
48,16,5
46,9,7
35,33,52
41,1,2
60,22,14
48,12,5
51,4,3
-6,107,1
36,-84,5
49,2,3
42,-2,11
38,-122,2
19,73,10
50,11,1
39,-2,18
40,-86,13
53,8,5
40,-74,2
29,78,19
36,-87,1
38,-122,10
34,-85,6
1,104,1
43,2,1
42,13,2
51,0,2
-3,-79,8
44,11,3
28,113,18
53,-1,5
46,10,3
42,-8,155
43,-85,113
40,-75,2
19,73,11
3,102,3
49,28,1
51,11,2
44,5,10
48,-122,3
38,127,13
51,30,2
39,-99,14
-23,-42,8
14,76,6
38,24,2
-34,151,2
51,6,7
52,5,3
17,-97,12
45,20,12
15,74,1
-35,-59,4
48,-123,216
48,11,7
38,127,458
48,8,18
40,-105,6
-17,-66,1
50,2,589
47,19,21
49,2,2
30,-90,12
-8,-35,124
13,78,21
65,25,17
44,13,1
44,-79,6
37,-76,38
51,5,12
-34,-71,7
-23,-52,7
44,2,1
49,2,12
49,17,78
49,8,1
-27,-56,38
40,-5,1
50,36,1
43,13,1
33,-97,8
51,5,1
-25,-49,66
30,-98,7
52,11,13
36,140,3
32,117,19
41,-8,9
60,25,3
53,13,6
46,14,1
56,10,1
48,13,5
60,30,42
52,7,4
49,17,17
51,9,1
42,-83,1
40,-75,20
51,9,1
49,17,4
33,-80,6
48,21,1
9,-71,1
39,-77,1
34,-6,1
28,111,10
31,-96,4
51,7,2
6,0,16
40,-4,1
56,13,111
-23,-47,57
42,123,8
50,11,2
39,-95,131
46,5,77
45,-1,1
22,114,6
47,7,1
21,-101,21
49,-123,1
52,5,1
36,-79,1222
50,8,2
53,15,2
-21,-47,3
48,17,25
12,75,2
49,18,2
49,3,116
46,13,1
52,14,2
47,9,1
46,10,27
50,8,1
-35,-55,1
43,-88,1
47,7,1
11,107,12
-24,-46,17
45,12,1
15,-24,2
20,74,18
53,7,4
36,-94,67
-30,-52,1
52,0,2
22,114,4
41,-73,1
47,18,3
48,16,262
-21,-42,1
39,-76,3
47,7,1
51,7,2
-24,-52,5
43,26,27
43,-123,1
11,79,1
48,10,2
49,7,10
50,9,1
11,79,1
-8,-38,1
47,8,10
42,19,1
49,2,4
41,2,2
51,7,98
52,4,47
47,0,1
39,-77,1
37,11,3
40,-85,16
35,127,1
48,17,2
43,-71,2
59,14,2
49,17,1
53,6,13
-27,-53,4
49,19,3
49,4,8
38,24,21
-13,-39,2
45,-93,55
35,137,13
61,25,2
-35,20,1
-26,-53,21
39,-75,1
35,-90,15
58,56,2
33,-97,12
39,-77,1
41,-74,1
46,13,22
46,7,6
13,80,2
6,0,4
54,10,1
46,-123,914
49,1,34
34,-118,6
45,-80,3
49,2,1
51,5,7
49,2,12
51,-2,1
34,-84,1
49,11,2
52,17,1
33,-97,6
46,17,2
52,23,1
40,-74,1
-22,-49,7
48,-4,1
42,-9,2
32,74,1
42,26,1
42,-92,1
49,9,3
52,8,1
36,51,56
51,9,1
50,4,2
50,15,19
48,14,4
13,80,5
46,-74,3
49,3,2
60,30,10
43,-88,8
12,78,7
50,10,1
45,12,3
-3,-42,6
13,75,3
48,8,13
48,8,5
51,13,1
47,7,8
46,-73,3
33,-117,2
41,-9,4
36,140,11
52,10,2
53,-3,2
52,6,4
29,77,5
48,19,1
15,-17,29
36,139,4
51,7,1
44,1,18
40,-105,2
52,6,13
56,37,23
1,104,13
-22,-46,3
40,-80,1
46,-65,1
51,4,1
54,9,1
39,28,4
23,88,2
42,-71,1
41,-74,3
50,14,18
52,17,1
44,-79,3
43,-88,16
3,102,21
48,-114,9
50,14,1
23,113,109
4,-75,4
29,48,8
42,-75,28
-6,-47,1
35,-81,1
40,-122,2
45,8,2
36,-83,58
44,-80,1
29,48,1
37,-122,1
43,18,1
47,-1,3
-7,110,1
48,14,10
56,13,3
50,11,4
51,0,14
-34,-59,29
3,102,8
53,-6,1
46,5,2
19,73,56
53,-2,3
40,-86,6
15,121,1
54,48,1
52,4,2
32,-106,115
52,10,3
11,107,2
45,-76,1
42,-81,17
48,9,2
36,11,6
46,11,16
47,9,2
60,25,44
-37,-73,6
49,2,4
49,15,3
52,4,1
23,73,8
37,-122,1
32,35,3
48,8,21
49,14,4
48,9,48
52,11,2
52,10,7
33,-112,11
40,-4,4
53,7,4
48,11,9
56,12,17
48,11,12
44,15,3
39,28,1
40,70,6
14,-89,4
50,11,1
-20,-44,11
53,42,1
56,13,2
48,14,10
26,119,13
47,-123,1
49,15,3
15,-90,2
31,121,592
-35,139,22
49,9,1
52,9,35
-24,-47,4
-23,-47,1
46,20,3
51,16,1
50,9,87
39,17,2
48,16,1
50,22,6
47,7,1
49,8,2
49,18,1
35,-85,35
49,2,1
38,24,1
46,7,3
45,20,2
48,-2,8
50,3,2
25,76,1
-4,-39,2
42,2,1
48,11,10
35,129,3
43,-71,7
53,-6,1
43,141,1
23,80,3
43,6,1
46,6,1
29,-111,31
22,-101,1
40,-4,4
36,140,1
39,-121,2
52,7,2
54,10,20
59,25,2
60,10,39
-27,-49,1
24,90,1
-16,-48,224
24,86,73
50,8,2
32,-8,12
47,7,2
34,-118,292
38,-122,1
52,9,2
14,79,1
49,11,1
52,4,1
-34,-72,1
39,-77,1
26,-100,1
42,-71,1
63,8,3
41,20,19
55,-6,3
38,106,2
9,99,1
39,-78,4209
41,115,1
45,-93,1
44,22,1
10,106,1
49,13,1
39,-9,1
45,0,1
50,3,1
44,2,1
-16,-56,52
37,-4,1
46,9,3
47,-1,1
51,27,2
45,-93,10
38,-1,1
29,77,16
54,0,1
43,-86,5
52,0,1
40,-105,2
50,6,1
36,140,6
52,10,9
56,37,1
-17,-49,18
42,-94,1
48,12,7
38,-84,2
51,-1,5
60,5,40
48,-114,3
37,3,59
50,17,1
47,15,1
43,-86,9
-8,-36,4
-18,-150,3
52,5,9
52,9,1
37,-94,1
45,6,3
41,-85,1
38,127,3
59,18,2
41,29,220
49,2,4
5,-76,6
38,24,303
47,-122,2
56,38,393
1,104,36
-35,-58,15
49,2,2
49,3,1
45,6,1
43,-71,2
10,-84,4
-9,13,2
26,-97,19
-27,-49,181
47,7,2
40,-78,6
48,9,1
-26,33,15
49,2,2
52,12,18
48,16,1
42,-88,2
48,23,1
-5,-43,3
53,6,22
56,12,12
35,-2,1
51,5,2
3,102,2
41,-9,3
57,15,23
36,-87,14
56,12,14
26,51,1
44,-92,6
26,-80,1
1,104,1
52,5,1
14,100,8
-24,-47,599
50,8,1
29,-81,2
25,74,2
47,8,2
51,10,3
30,-96,1
48,0,2
39,-29,1
60,22,45
31,114,531
48,-122,1
11,-75,4
64,23,7
26,78,1
45,11,29
49,3,7
50,15,1
52,8,1
49,10,1
3,102,4
33,-97,4
25,121,1
9,-80,67
36,120,53
51,6,1
55,83,17
50,9,3
40,-4,25
54,9,1
-6,-35,7
48,14,19
24,121,11
-23,-52,14
40,-74,1
-23,-43,2
38,-78,4
43,-78,43
52,7,10
47,27,1
52,7,2
50,9,1
-3,-60,4
54,10,4
48,18,1
49,18,1
48,-2,1
-38,-58,1
34,36,1
41,23,26
45,-90,1
34,-118,1
51,7,13
36,51,2
50,9,1
49,10,3
44,9,6
41,-9,24
30,78,6
37,15,4
48,10,2
36,11,1
66,23,3
-33,-61,70
-5,-38,2
50,83,3
10,77,1
40,-76,3
51,4,1
49,2,1
59,15,3
51,6,99
49,11,22
47,9,1
33,-97,52
41,-122,1
41,-74,2
6,0,3
39,-121,2
32,35,1
48,16,4
51,0,9
34,-84,6
21,-87,1
19,74,1
-1,37,1
47,-122,1
38,27,40
1,104,3
41,-74,38
42,-84,4
40,-86,3
49,44,20
48,12,1
52,5,12
-28,-49,1
49,17,2
51,9,1
48,17,2
32,35,6
52,7,11
48,19,1
35,-121,3
36,-5,2
42,2,1
17,81,39
37,15,6
44,-80,10
-11,-37,1
52,5,2
28,-81,1
7,126,3
-26,28,137
56,44,1
33,-97,18
57,12,4
51,7,1
45,-93,1
41,-74,3
44,8,1
-30,-51,2
-3,-44,21
41,-9,21
37,10,16
14,102,4
47,1,1
-2,30,51
1,104,2
-4,-39,1
47,10,1
40,-4,1
42,-8,21
37,-122,23
52,7,1
46,-120,1349
51,-1,6
30,78,9
37,-6,8
51,-4,2
51,-3,15
5,-4,24
-29,-52,13
53,7,2
33,-97,2
60,17,13
52,5,1
35,-98,9
3,102,7
30,-97,36
53,-1,3
48,16,8
-34,-59,1
-23,-47,1
48,9,2
12,105,2
49,2,1
50,-119,3
53,-2,39
43,18,2
21,-103,72
62,17,14
45,-1,3
45,12,14
21,106,51
52,10,1
49,17,1
40,-4,190
-34,-71,1
47,9,2
49,2,21
48,17,1
3,102,2
42,-90,3
12,75,5
13,78,99
51,-1,3
47,8,1
52,7,1
39,-84,1
46,5,1
43,-71,35
44,18,32
39,-9,5
51,4,1
34,-84,1
40,-75,25
47,29,25
38,-122,3
52,5,2
-18,-71,1
37,-122,1
38,-123,2
52,4,4
3,102,71
34,-84,4
47,7,7
43,-71,9
45,4,3
49,9,3
36,140,2
65,21,9
47,39,9
-29,-52,5
47,9,2
42,-89,5
53,13,4
-34,-71,4
33,35,8
-18,-48,4
36,-87,2
-28,-49,56
0,33,2
52,29,5
-30,-51,1
26,-100,1
60,25,1
48,14,45
52,9,14
39,-121,1
46,9,10
44,7,1
57,13,3
48,11,2
32,35,14
42,-71,1
-25,-49,1
57,61,3
36,139,3
10,78,59
10,78,1
-29,-52,3
51,0,6
44,1,1
56,13,2
41,19,20
55,-1,2
51,6,28
55,9,8
43,-74,37
31,35,11
53,8,3
46,10,1
32,35,17
3,102,18
-7,109,3
14,-89,79
-24,-47,1
51,4,1
-4,-80,2
33,-117,13
55,19,1
-28,-49,2
47,7,5
30,53,1
50,15,3
50,20,4
-10,-45,1
52,9,40
59,6,47
53,7,824
49,17,3
49,2,43
51,14,2
33,-112,1
49,2,1
-5,-37,1
46,5,9
51,7,12
20,-101,87
-41,-73,1
53,-6,2
55,9,5
50,9,4
50,8,14
49,-123,3
52,14,2
56,21,9
42,3,24
26,85,31
51,4,3
30,-81,3
-14,-72,4
50,9,2
36,-79,4
49,17,11
47,-92,1
6,3,5
41,-74,3
42,-72,11
41,2,1
49,10,1
28,-81,19
37,-78,5953
41,-8,1
19,-100,22
48,16,3
48,-123,21
50,10,8
53,-1,1
53,8,8
-35,-58,223
49,2,5
43,-86,1
37,127,6
-23,-44,1
40,-75,1
-14,-72,3
52,-1,2
30,107,11
23,77,15
41,-8,6
11,77,28
15,-90,1
23,88,2
51,8,2
-35,-58,6
36,10,7
33,-97,7
43,-9,1
49,2,64
32,35,2
49,19,1
13,100,2
7,-73,2
1,104,3695
34,-118,12
53,9,1
49,2,2
-33,-72,6
37,-9,6
50,8,4
40,-83,133
41,-3,207
47,6,5
48,-123,3
53,7,4
44,17,1
24,90,28
35,-121,21
40,-85,1
47,19,1
47,6,2
51,8,3
-8,113,1
36,140,1
50,5,1
46,16,3
46,0,1
51,13,6
47,8,4
-40,-73,4
41,-74,19
40,-84,2
33,-97,3
-4,-45,1
37,-9,2
52,7,4
34,132,2
40,116,374
47,11,4
38,24,3
17,78,1321
38,-90,1
51,2,65
40,0,5
-15,-48,1
37,127,3
35,139,3
41,15,1
20,-99,1
47,28,1
46,10,1
46,9,14
45,39,2
42,2,3
46,12,3
52,10,4
47,14,2
52,17,26
48,16,4
50,3,12
-26,-53,2
49,9,1
40,-105,3
59,18,448
41,-74,1
52,21,570
51,17,1
33,-80,31
50,19,1
-28,-52,2
33,-96,1
51,10,9
48,12,2
44,1,1
50,8,7
-26,-49,12
55,10,11
60,25,4
53,9,5
40,-3,44
18,76,2
70,19,1
50,9,12
-35,-58,1
48,8,6
6,-73,6
42,-73,3
54,10,3
39,16,1
31,-98,16
48,26,9
15,-91,1
51,-1,4
51,4,4
-2,-81,4
38,-122,46
52,6,2
40,-75,1
47,9,3
46,9,3
40,-4,1013
20,-91,2
34,-118,10
-7,-76,1
-27,-55,1
50,3,1
40,27,1
43,-97,1
52,0,2
59,18,7
33,-97,473
40,-1,1
28,-82,20
47,13,2
18,-70,12
41,-112,162
36,-81,15
36,140,1
36,140,9
30,77,2
45,26,7
44,4,13
54,28,4
40,-75,1
56,-4,1
48,18,2
54,10,8
43,-76,1
42,-1,24
1,104,6
36,140,2
-29,-49,1
39,-78,237
41,-75,1
40,0,4
49,2,9
30,-95,32
1,104,1
-27,-49,53077
45,20,7
46,-1,1
39,-9,12
49,2,55
45,9,6
52,5,1
47,9,1
42,-84,10
31,76,6
52,4,1
40,-105,2
50,16,3
53,13,1
-9,13,45
45,5,7
42,12,5
44,11,1
37,10,3
-23,-46,7
37,10,3
38,-9,5
-24,-46,7
38,-122,4
19,-81,13
51,6,3
43,-71,2
38,127,1
49,-123,4
41,14,5
49,17,23
46,8,1
19,-98,14
-21,-45,5
-30,-52,2
50,9,1
53,-6,57089
45,-93,3
41,2,1
-6,107,1
36,11,7
39,-84,11
-11,-37,2
39,-77,2
30,53,3
32,35,2
52,7,21
-33,18,1
55,-2,3
44,-79,10
52,-1,250
54,10,233
51,-1,11
25,52,9
38,-122,22
42,-90,2
-24,-47,2
49,17,1
50,7,3
56,13,2
30,31,6
46,-1,2
-8,-35,2
-35,-59,4
40,-4,1
53,-6,2
42,-88,10
49,9,1
51,0,1
-6,107,3
47,-2,3
17,78,3
41,-4,2
42,-88,7
37,-6,2
53,14,3
32,-85,2
45,9,598
43,-1,1
23,77,48
47,9,4
50,18,17
31,32,3
44,-79,2
43,141,8
51,9,6
53,8,1
40,-4,3
52,15,3
49,3,1
51,11,9
20,73,38
52,8,1
41,-74,3
42,-88,3
35,119,4
49,2,6
50,3,2
46,3,1
50,4,10
54,-2,7
51,71,3
59,18,4
45,-76,1
31,30,13
28,-16,33
-24,-47,1
36,127,16
48,8,5
42,-73,1
48,-122,1
33,35,1
53,9,3
43,-71,13
43,14,2
17,79,1
49,2,13
1,104,4
33,-117,1
46,5,6
57,24,86
42,-71,1
47,-1,1
5,100,7
34,-118,4
49,13,4
45,21,1
25,55,2
42,45,12
48,18,4
48,35,2
48,9,118
42,13,1
51,8,15
42,-5,28
51,4,2
47,1,12
54,12,2
40,-3,7
48,9,15
-38,145,37
47,10,17
28,78,13
8,77,18
39,9,1
49,17,20
45,18,13
51,6,3
54,-2,12
44,26,145
18,-70,1
57,16,13
51,5,1
56,13,1
42,2,3
58,16,53
52,-1,400
47,-92,9
-23,-47,2
-1,-79,41
47,-122,9
47,7,6
42,-72,3
-34,-71,8
50,11,2
39,-105,21
27,32,1
9,77,3
1,104,2
43,-88,3
10,-85,1
52,5,1
60,18,41
44,24,18
44,10,8
58,39,3
40,-76,3
