lat,lng,count
38.70950,-78.15390,814
41.60210,-93.61240,354
48.94840,2.25130,1
47.26370,11.40160,122
36.65340,-78.37500,537
49.43240,11.05200,1
53.33820,-6.25910,51
47.47930,8.22430,2
48.83030,2.00960,13
51.65600,19.35420,318
48.83230,2.40750,30
50.10330,8.65330,1
59.95500,10.85900,13
50.97730,6.87530,9
43.61070,3.88090,1
47.50790,-122.17730,3
34.39750,-118.55680,1
49.24810,6.99790,1
12.89960,80.22090,1
40.41630,-3.69340,5
35.85380,-78.68600,14
48.85820,2.33870,10
48.96360,-122.73230,1
45.74800,4.85000,8
43.66570,-79.37180,10
40.72790,-73.99660,1
37.96670,23.71670,13
33.66470,-117.96630,1
47.38570,8.53480,1
-33.86720,151.19970,1
50.45800,30.53030,8
37.75100,-97.82200,58
22.31570,114.15900,1
22.31400,114.21400,6
45.78380,3.09660,1
47.44130,8.20970,7
51.44120,-0.18330,2
40.34950,-111.89980,1
51.31940,21.73830,39
25.05040,121.53240,1
22.29080,114.15010,5
34.23190,-84.16270,1
49.18610,16.73190,2
51.76790,5.52060,9
41.01970,28.97570,4
56.10890,10.20940,7
50.82740,4.34800,34
33.44750,-112.08660,13
50.11880,8.68430,729
47.67840,-122.18570,4
47.49020,-122.30040,6
45.44580,8.61610,1
53.84190,9.62750,13
35.76330,-78.71000,11
41.34020,2.03790,2
49.26670,16.60000,5
55.68020,12.58920,3
47.36610,8.52430,1
41.16960,-73.76920,2
40.71820,-74.04760,1
54.02740,-2.14740,1
-30.02730,-51.23530,1
52.40520,16.93390,1
55.74830,37.61710,3
-33.86010,151.21010,2
48.15350,16.38550,9
-43.53790,172.61510,2
40.14350,-75.37790,3
37.98420,23.73530,2
34.15310,131.82120,2
-26.87660,-49.09690,1
50.91640,6.80710,1
46.99040,6.93390,1
52.34020,4.90840,1
28.79350,-81.28680,28
52.31820,4.95100,2
49.71730,11.05060,1
51.07830,13.80510,2
52.19620,20.96660,2
39.65620,-104.78660,1
-0.21430,-78.50170,1
47.35380,8.55870,1
41.55570,-72.66320,1
45.10890,5.72530,1
31.30930,120.60200,1
45.47220,9.19220,9
49.25120,8.88150,3
-10.90940,-37.07160,1
40.76670,-74.03110,1
47.39760,8.54420,1
54.30370,10.11780,1
30.18100,-92.04770,2
44.92700,4.89300,2
46.77270,-71.33320,12
46.93540,7.42710,1
46.19230,-0.66770,1
-19.90290,-43.95720,2
47.48160,8.23500,1
43.03470,-80.87810,2
41.48020,-82.09970,1
53.43460,-2.90890,1
37.43710,-121.89540,1
50.11890,8.69210,1
51.26080,-0.55430,1
28.68410,-81.28120,2
48.81310,2.36410,7
47.40970,8.44730,1
43.49390,-80.49330,1
46.92310,7.01660,1
37.55170,-122.33000,2
47.60340,-122.34140,1032
49.09800,16.38670,2
48.86450,-122.59530,8
32.86080,-79.97460,403
42.05500,-87.69510,10
50.32120,18.70550,192
43.44190,-80.42160,7
52.37590,4.89750,3
45.35480,-75.57730,26
45.59990,-121.18710,12
52.40280,30.74870,1
46.23950,6.01240,4
47.20390,7.53370,3
41.39080,-73.44830,9
36.13460,-5.44860,8
46.94530,7.45300,1
-34.85760,-56.17020,31
52.06310,10.01480,1
-23.62830,-46.64090,5
53.81170,10.37340,8
40.39420,-111.84830,2
41.69190,-73.86420,4
49.19670,18.82030,1
43.56520,7.13180,2
51.22780,3.75660,1
47.35120,8.50110,4
38.73100,-9.13730,4
48.74000,2.27030,1
43.18470,5.71010,2
31.89430,34.81920,1
